Date,Yield,Country,Pred Type
2001Q1,5.28580266933333,Australia,Train
2001Q2,5.80581682766667,Australia,Train
2001Q3,5.80871179166667,Australia,Train
2001Q4,5.56072602466667,Australia,Train
2002Q1,6.03769444433333,Australia,Train
2002Q2,6.17228299,Australia,Train
2002Q3,5.647968662,Australia,Train
2002Q4,5.51788474833333,Australia,Train
2003Q1,5.238138889,Australia,Train
2003Q2,5.05899481666667,Australia,Train
2003Q3,5.42327608366667,Australia,Train
2003Q4,5.74669220133333,Australia,Train
2004Q1,5.57881159433333,Australia,Train
2004Q2,5.86885714266667,Australia,Train
2004Q3,5.57098484866667,Australia,Train
2004Q4,5.34444444433333,Australia,Train
2005Q1,5.46740371766667,Australia,Train
2005Q2,5.300067821,Australia,Train
2005Q3,5.198432461,Australia,Train
2005Q4,5.393988456,Australia,Train
2006Q1,5.272268116,Australia,Train
2006Q2,5.689187675,Australia,Train
2006Q3,5.736325052,Australia,Train
2006Q4,5.653708134,Australia,Train
2007Q1,5.80789574333333,Australia,Train
2007Q2,6.01178059566667,Australia,Train
2007Q3,6.02259569366667,Australia,Train
2007Q4,6.13581131666667,Australia,Train
2008Q1,6.15215956566667,Australia,Train
2008Q2,6.37074206333333,Australia,Train
2008Q3,5.95831027666667,Australia,Train
2008Q4,4.790563853,Australia,Train
2009Q1,4.222159091,Australia,Train
2009Q2,5.02431746033333,Australia,Train
2009Q3,5.44823748366667,Australia,Train
2009Q4,5.46333333333333,Australia,Train
2010Q1,5.55166666666667,Australia,Train
2010Q2,5.53416666666667,Australia,Train
2010Q3,5.03916666666667,Australia,Train
2010Q4,5.33916666666667,Australia,Train
2011Q1,5.52166666666667,Australia,Train
2011Q2,5.3325,Australia,Train
2011Q3,4.57166666666667,Australia,Train
2011Q4,4.0925,Australia,Train
2012Q1,3.97166666666667,Australia,Train
2012Q2,3.37666666666667,Australia,Train
2012Q3,3.05583333333333,Australia,Train
2012Q4,3.1125,Australia,Train
2013Q1,3.46916666666667,Australia,Train
2013Q2,3.33666666666667,Australia,Train
2013Q3,3.87,Australia,Train
2013Q4,4.11333333333333,Australia,Train
2014Q1,4.13333333333333,Australia,Train
2014Q2,3.83666666666667,Australia,Train
2014Q3,3.47666666666667,Australia,Train
2014Q4,3.18,Australia,Train
2015Q1,2.54,Australia,Train
2015Q2,2.75666666666667,Australia,Train
2015Q3,2.77333333333333,Australia,Train
2015Q4,2.77333333333333,Australia,Train
2016Q1,2.59333333333333,Australia,Train
2016Q2,2.32,Australia,Train
2016Q3,1.93333333333333,Australia,Train
2016Q4,2.5,Australia,Train
2017Q1,2.76333333333333,Australia,Train
2017Q2,2.50333333333333,Australia,Train
2017Q3,2.64666666666667,Australia,Train
2017Q4,2.64333333333333,Australia,Train
2018Q1,2.77666666666667,Australia,Train
2018Q2,2.74333333333333,Australia,Train
2018Q3,2.62,Australia,Train
2018Q4,2.59666666666667,Australia,Train
2001Q1,5.07,Austria,Train
2001Q2,5.25666666666667,Austria,Train
2001Q3,5.15666666666667,Austria,Train
2001Q4,4.83333333333333,Austria,Train
2002Q1,5.18,Austria,Train
2002Q2,5.31333333333333,Austria,Train
2002Q3,4.8,Austria,Train
2002Q4,4.56333333333333,Austria,Train
2003Q1,4.08666666666667,Austria,Train
2003Q2,3.92333333333333,Austria,Train
2003Q3,4.17333333333333,Austria,Train
2003Q4,4.38,Austria,Train
2004Q1,4.18333333333333,Austria,Train
2004Q2,4.34333333333333,Austria,Train
2004Q3,4.18333333333333,Austria,Train
2004Q4,3.81333333333333,Austria,Train
2005Q1,3.60333333333333,Austria,Train
2005Q2,3.38,Austria,Train
2005Q3,3.22333333333333,Austria,Train
2005Q4,3.37,Austria,Train
2006Q1,3.48666666666667,Austria,Train
2006Q2,3.99333333333333,Austria,Train
2006Q3,3.92,Austria,Train
2006Q4,3.8,Austria,Train
2007Q1,4.04666666666667,Austria,Train
2007Q2,4.39,Austria,Train
2007Q3,4.43333333333333,Austria,Train
2007Q4,4.32,Austria,Train
2008Q1,4.18,Austria,Train
2008Q2,4.54,Austria,Train
2008Q3,4.57333333333333,Austria,Train
2008Q4,4.14,Austria,Train
2009Q1,4.12333333333333,Austria,Train
2009Q2,4.15333333333333,Austria,Train
2009Q3,3.85,Austria,Train
2009Q4,3.62,Austria,Train
2010Q1,3.64666666666667,Austria,Train
2010Q2,3.29,Austria,Train
2010Q3,2.88,Austria,Train
2010Q4,3.08666666666667,Austria,Train
2011Q1,3.63333333333333,Austria,Train
2011Q2,3.57333333333333,Austria,Train
2011Q3,2.94333333333333,Austria,Train
2011Q4,3.12666666666667,Austria,Train
2012Q1,3.04666666666667,Austria,Train
