Rating,Bond,Country,Num Rating,Year
AAA,Foreign Currency LT,Australia,23.0,2011
AAA,Foreign Currency LT,Australia,23.0,2012
AAA,Foreign Currency LT,Australia,23.0,2013
AAA,Foreign Currency LT,Australia,23.0,2014
AAA,Foreign Currency LT,Australia,23.0,2015
AAA,Foreign Currency LT,Australia,23.0,2016
AAA,Foreign Currency LT,Australia,23.0,2017
AAA,Foreign Currency LT,Australia,23.0,2018
AAA,Foreign Currency LT,Austria,23.0,2010
AAA,Foreign Currency LT,Austria,23.0,2011
AA+,Foreign Currency LT,Austria,22.0,2012
AA+,Foreign Currency LT,Austria,22.0,2013
AA+,Foreign Currency LT,Austria,22.0,2014
AA+,Foreign Currency LT,Austria,22.0,2015
AA+,Foreign Currency LT,Austria,22.0,2016
AA+,Foreign Currency LT,Austria,22.0,2017
AA+,Foreign Currency LT,Austria,22.0,2018
AA+,Foreign Currency LT,Belgium,22.0,2011
AA,Foreign Currency LT,Belgium,21.0,2012
AA,Foreign Currency LT,Belgium,21.0,2013
AA,Foreign Currency LT,Belgium,21.0,2014
AA,Foreign Currency LT,Belgium,21.0,2015
AA,Foreign Currency LT,Belgium,21.0,2016
AA,Foreign Currency LT,Belgium,21.0,2017
AA,Foreign Currency LT,Belgium,21.0,2018
AAA,Foreign Currency LT,Canada,23.0,2010
AAA,Foreign Currency LT,Canada,23.0,2011
AAA,Foreign Currency LT,Canada,23.0,2012
AAA,Foreign Currency LT,Canada,23.0,2013
AAA,Foreign Currency LT,Canada,23.0,2014
AAA,Foreign Currency LT,Canada,23.0,2015
AAA,Foreign Currency LT,Canada,23.0,2016
AAA,Foreign Currency LT,Canada,23.0,2017
AAA,Foreign Currency LT,Canada,23.0,2018
A+,Foreign Currency LT,Chile,19.0,2011
A+,Foreign Currency LT,Chile,19.0,2012
AA-,Foreign Currency LT,Chile,20.0,2013
AA-,Foreign Currency LT,Chile,20.0,2014
AA-,Foreign Currency LT,Chile,20.0,2015
AA-,Foreign Currency LT,Chile,20.0,2016
A+,Foreign Currency LT,Chile,19.0,2017
A+,Foreign Currency LT,Chile,19.0,2018
BBB-,Foreign Currency LT,Colombia,14.0,2011
BBB-,Foreign Currency LT,Colombia,14.0,2012
BBB,Foreign Currency LT,Colombia,15.0,2013
BBB,Foreign Currency LT,Colombia,15.0,2014
BBB,Foreign Currency LT,Colombia,15.0,2015
BBB,Foreign Currency LT,Colombia,15.0,2016
BBB,Foreign Currency LT,Colombia,15.0,2017
BBB-,Foreign Currency LT,Colombia,14.0,2018
BB-,Foreign Currency LT,Costa Rica,11.0,2018
AA-,Foreign Currency LT,Czech Republic,20.0,2011
AA-,Foreign Currency LT,Czech Republic,20.0,2012
AA-,Foreign Currency LT,Czech Republic,20.0,2013
AA-,Foreign Currency LT,Czech Republic,20.0,2014
AA-,Foreign Currency LT,Czech Republic,20.0,2015
AA-,Foreign Currency LT,Czech Republic,20.0,2016
AA-,Foreign Currency LT,Czech Republic,20.0,2017
AA-,Foreign Currency LT,Czech Republic,20.0,2018
AAA,Foreign Currency LT,Denmark,23.0,2010
AAA,Foreign Currency LT,Denmark,23.0,2011
AAA,Foreign Currency LT,Denmark,23.0,2012
AAA,Foreign Currency LT,Denmark,23.0,2013
